id_atributos_espacio_fisico;id_espacio_fisico;id_area_construida;id_unidad;id_tipo_espacio;area;capacidad;piso;estado
1;65;5;82;3;107.360;129;1;A
2;1;5;82;1;69.210;77;1;A
3;2;5;82;1;69.210;77;1;A
4;3;5;82;1;30.410;34;1;A
5;4;5;82;1;33.800;37;1;A
6;5;5;82;1;46.750;52;1;A
7;6;5;82;1;65.260;72;1;A
8;7;6;80;1;74.400;83;1;A
9;8;6;80;9;52.400;58;1;A
10;9;6;80;5;46.320;51;1;A
11;10;6;80;9;31.800;34;1;A
12;11;6;80;9;30.600;34;1;A
13;27;6;80;10;74.400;83;2;A
14;28;6;80;8;52.400;58;2;A
15;29;6;80;9;46.320;51;2;A
16;30;6;80;6;30.600;34;2;A
17;31;6;83;9;32.100;36;2;A
18;32;6;83;1;32.100;36;2;A
19;41;6;83;7;74.400;83;3;A
20;42;6;83;1;52.400;58;3;A
21;43;6;83;10;46.320;51;3;A
22;44;6;83;1;31.810;35;3;A
23;45;6;83;4;30.600;64;3;A
24;46;6;83;3;32.100;36;3;A
25;49;6;85;6;74.400;83;4;A
26;50;6;85;10;52.400;58;4;A
27;51;6;85;2;46.320;51;4;A
28;52;6;85;6;32.160;36;4;A
29;53;6;85;8;30.600;34;4;A
30;54;6;83;6;32.100;36;4;A
31;7;7;84;10;74.400;83;1;A
32;8;7;84;1;32.400;58;1;A
33;9;7;84;1;46.320;51;1;A
34;10;7;84;6;31.800;35;1;A
35;11;7;84;9;30.600;34;1;A
36;12;7;84;6;32.100;36;1;A
37;27;7;84;1;74.400;83;2;A
38;28;7;84;1;52.400;58;2;A
39;29;7;84;6;46.320;51;2;A
40;30;7;84;9;31.800;35;2;A
41;31;7;84;10;30.600;34;2;A
42;32;7;84;8;32.100;36;2;A
43;41;7;83;1;74.400;83;3;A
44;42;7;83;8;52.400;58;3;A
45;43;7;83;10;46.320;51;3;A
46;44;7;83;4;31.800;35;3;A
47;45;7;83;5;30.600;34;3;A
48;46;7;83;3;32.100;36;3;A
49;53;7;83;11;22.920;25;4;A
50;54;7;83;1;23.400;26;4;A
51;7;8;88;6;62.370;56;1;A
52;8;8;88;4;60.750;58;1;A
53;9;8;88;4;60.650;58;1;A
54;10;8;88;10;61.110;58;1;A
55;11;8;88;3;56.640;54;1;A
56;12;8;88;5;57.720;55;1;A
57;13;8;88;3;57.720;55;1;A
58;15;8;88;1;46.850;45;1;A
59;27;8;88;4;64.300;62;2;A
60;28;8;88;5;62.490;60;2;A
61;29;8;88;3;60.110;58;2;A
62;30;8;88;6;60.780;58;2;A
63;31;8;88;11;57.720;55;2;A
64;32;8;88;11;57.720;55;2;A
65;33;8;88;4;57.720;55;2;A
66;34;8;88;2;64.400;62;2;A
67;41;8;88;6;62.660;60;3;A
68;42;8;88;8;59.900;58;3;A
69;43;8;88;4;60.660;58;3;A
70;44;8;88;8;62.970;60;3;A
71;45;8;88;2;57.720;55;3;A
72;46;8;88;6;57.720;55;3;A
73;47;8;88;11;57.720;55;3;A
74;48;8;88;4;64.400;62;3;A
75;7;9;81;6;57.640;62;1;A
76;8;9;81;4;45.900;62;1;A
77;9;9;81;10;33.790;62;1;A
78;10;9;81;1;21.420;62;1;A
79;11;9;81;6;5.970;62;1;A
80;12;9;81;9;60.940;62;1;A
81;13;9;81;9;51.910;62;1;A
82;27;9;81;10;53.280;51;2;A
83;28;9;81;2;53.640;51;2;A
84;29;9;81;9;61.200;59;2;A
85;30;9;81;2;48.180;46;2;A
86;31;9;81;7;46.530;45;2;A
87;32;9;81;1;58.080;56;2;A
88;41;9;81;10;53.280;51;3;A
89;42;9;81;4;53.640;51;3;A
90;43;9;81;8;61.200;59;3;A
91;44;9;81;5;47.520;46;3;A
92;45;9;81;9;46.530;45;3;A
93;46;9;81;5;58.080;56;3;A
94;7;10;86;11;53.280;51;1;A
95;8;10;86;7;53.640;51;1;A
96;9;10;86;1;61.200;59;1;A
97;10;10;86;2;48.180;46;1;A
98;27;10;86;11;46.530;45;2;A
99;7;11;79;8;65.030;45;1;A
100;8;11;79;10;77.730;45;1;A
101;9;11;79;5;77.730;45;1;A
102;10;11;79;9;78.030;45;1;A
103;11;11;79;5;78.780;45;1;A
104;12;11;79;11;91.190;45;1;A
105;13;11;79;1;74.000;45;1;A
106;15;11;79;6;77.930;45;1;A
107;16;11;79;5;63.090;45;1;A
108;17;11;79;11;80.940;45;1;A
109;18;11;79;10;83.680;45;1;A
110;19;11;79;10;83.000;45;1;A
111;20;11;79;6;74.540;45;1;A
112;21;11;79;6;84.520;45;1;A
113;22;11;79;1;152.230;45;1;A
114;23;11;79;7;152.450;45;1;A
115;24;11;79;9;110.200;45;1;A
116;25;11;79;9;59.460;45;1;A
117;26;11;79;9;112.800;45;1;A
118;27;11;79;3;44.480;45;2;A
119;28;11;79;6;43.360;45;2;A
120;29;11;79;7;43.360;45;2;A
121;30;11;79;11;43.720;45;2;A
122;31;11;79;9;44.800;45;2;A
123;32;11;79;8;91.580;45;2;A
124;33;11;79;7;45.770;45;2;A
125;34;11;79;2;44.970;45;2;A
126;35;11;79;2;44.210;45;2;A
127;36;11;79;2;44.670;45;2;A
128;37;11;79;2;44.670;45;2;A
129;38;11;79;6;82.590;45;2;A
130;39;11;79;2;72.120;45;2;A
131;40;11;79;2;82.190;45;2;A
132;41;11;79;3;92.660;45;3;A
133;42;11;79;7;72.120;45;3;A
134;43;11;79;6;81.710;45;3;A
135;49;11;79;2;82.830;45;4;A
136;50;11;79;11;72.130;45;4;A
137;51;11;79;1;80.870;45;4;A
138;52;11;79;11;82.340;45;4;A
139;53;11;79;11;82.340;45;4;A
140;7;12;282;5;64.150;45;1;A
141;8;12;282;9;74.300;45;1;A
142;9;12;282;5;61.570;45;1;A
143;10;12;282;9;46.990;45;1;A
144;11;12;282;3;16.060;45;1;A
145;12;12;282;3;52.400;45;1;A
146;13;12;282;10;69.720;45;1;A
147;27;12;281;7;53.030;45;2;A
148;28;12;281;11;108.830;45;2;A
149;29;12;281;8;41.780;45;2;A
150;30;12;281;2;63.000;45;2;A
151;31;12;281;3;35.770;45;2;A
152;32;12;281;10;50.070;45;2;A
153;33;12;281;1;86.640;45;2;A
154;27;45;298;11;62.570;50;2;A
155;28;45;298;5;61.230;50;2;A
156;29;45;298;1;58.060;60;2;A
157;30;45;298;2;61.230;60;2;A
158;31;45;298;2;62.570;55;2;A
159;32;45;298;7;62.570;50;2;A
160;33;45;298;2;62.570;55;2;A
161;34;45;298;1;49.320;45;2;A
162;41;45;298;4;62.570;60;3;A
163;42;45;298;11;61.230;55;3;A
164;43;45;298;5;58.060;35;3;A
165;44;45;298;6;61.230;35;3;A
166;45;45;298;4;62.570;35;3;A
167;46;45;298;3;62.570;35;3;A
168;47;45;298;5;62.570;35;3;A
169;48;45;298;4;49.320;35;3;A
170;49;45;298;6;62.570;35;4;A
171;50;45;298;6;61.230;35;4;A
172;51;45;298;2;58.060;35;4;A
173;52;45;298;8;61.230;35;4;A
174;53;45;298;8;62.570;35;4;A
175;54;45;298;7;62.570;35;4;A
176;55;45;298;7;62.570;35;4;A
177;56;45;298;6;49.320;35;4;A
178;7;46;298;9;42.790;35;1;A
179;8;46;298;9;42.560;35;1;A
180;9;46;298;4;42.540;35;1;A
181;10;46;298;8;39.880;35;1;A
182;11;46;298;11;42.230;35;1;A
183;12;46;298;1;42.140;35;1;A
184;13;46;298;4;39.960;35;1;A
185;14;46;298;8;40.850;35;1;A
186;27;46;298;8;41.790;35;2;A
187;28;46;298;11;42.560;35;2;A
188;29;46;298;1;42.540;35;2;A
189;30;46;298;6;39.880;35;2;A
190;31;46;298;7;42.230;35;2;A
191;32;46;298;7;42.140;35;2;A
192;33;46;298;1;39.960;35;2;A
193;34;46;298;10;40.850;35;2;A
194;41;46;298;4;41.310;35;3;A
195;42;46;298;3;42.590;35;3;A
196;43;46;298;3;42.620;35;3;A
197;44;46;298;11;39.880;35;3;A
198;45;46;298;3;42.230;35;3;A
199;46;46;298;9;42.120;35;3;A
200;47;46;298;11;39.960;35;3;A
201;48;46;298;1;40.850;35;3;A
202;49;46;298;3;40.100;35;4;A
203;50;46;298;11;42.310;35;4;A
204;51;46;298;11;42.290;35;4;A
205;52;46;298;10;39.050;35;4;A
206;53;46;298;4;42.120;35;4;A
207;54;46;298;4;40.950;35;4;A
208;55;46;298;6;39.780;35;4;A
209;56;46;298;3;41.080;35;4;A
210;57;46;298;8;41.120;35;5;A
211;58;46;298;11;42.310;35;5;A
212;59;46;298;8;42.540;35;5;A
213;60;46;298;11;39.050;35;5;A
214;61;46;298;8;42.230;35;5;A
215;62;46;298;1;41.480;35;5;A
216;63;46;298;2;39.960;35;5;A
217;64;46;298;1;40.850;35;5;A
