1;ANFITEATRO;7;1;353.78;353.78;0.00;A
2;AUDITORIO LUIS SANTANDER;7;3;380.49;0.00;380.49;A
3;BIBLIOTECA ALBERTO QUIJANO;7;1;1068.40;1068.40;0.00;A
4;BIOTERIO;7;2;28.34;28.34;0.00;A
5;BLOQUE 1;7;4;7311.36;7311.36;0.00;A
6;BLOQUE 2;7;4;514.92;514.92;0.00;A
7;BLOQUE 3;7;3;514.92;514.92;0.00;A
8;BLOQUE 6;7;3;749.09;749.09;0.00;A
9;BLOQUE 7 ;7;2;483.51;483.51;0.00;A
10;BLOQUE 8;7;3;1287.00;1287.00;0.00;A
11;BLOQUE 9;7;2;5027.40;5027.40;0.00;A
12;BLOQUE ADMINISTRATIVO;7;1;641.83;0.00;641.83;A
13;CAFETERIA NUEVA;7;1;815.90;533.80;282.10;A
14;CANCHA DE FUTBOL 1 ;7;1;544.88;0.00;544.88;A
15;CANCHA DE FUTBOL 2;7;1;14000.00;0.00;14000.00;A
16;CASETA DEPOSITOS DE GAS;7;1;1696.12;0.00;1696.12;A
17;CLINICA VETERINARIA;7;1;9.00;0.00;9.00;A
18;COLISEO ADRIANA BENITEZ;7;1;796.31;796.31;0.00;A
19;CUARTO DE BOMBAS;7;1;2078.61;1023.00;1055.61;A
20;PESCEBRERA;7;1;8.00;0.00;8.00;A
21;CUARTO DE TANQUES;7;1;74.00;0.00;74.00;A
22;FORMACION INTEGRAL;7;1;83.06;0.00;83.06;A
23;INSECTARIO;7;1;247.40;247.40;0.00;A
24;INVERNADERO 1;7;1;169.87;169.87;0.00;A
25;INVERNADERO 2;7;1;249.20;249.20;0.00;A
26;LAB ESPECIALIZADOS;7;2;86.90;86.90;0.00;A
27;LAB. PRODUCCION ANIMAL;7;1;623.26;623.26;0.00;A
28;LAB Y CREMATORIO MEDICINA VETERINARIA;7;1;316.69;316.69;0.00;A
29;LAB. PRODUCCION GENETICA;7;1;56.00;56.00;0.00;A
30;LABORATORIOS ING. CIVIL;7;2;155.00;155.00;0.00;A
31;PARQUEADERO BLOQUE ADMINISTRATIVO;7;1;765.53;765.53;0.00;A
32;PARQUEADERO VEHICULAR;7;1;746.52;0.00;746.52;A
33;PLANTA ELECTRICA;7;1;2080.00;0.00;2080.00;A
34;PLANTA PILOTO;7;1;39.12;0.00;39.12;A
35;PLAZOLETA;7;1;307.33;307.33;0.00;A
36;PUNTO DE VENTAS CARNICOS Y LACTEOS;7;1;1232.00;0.00;1232.00;A
37;PSICOLOGIA;7;1;164.00;102.00;62.00;A
38;SINAPSIS;7;1;167.08;167.08;0.00;A
39;UNIDAD MEDICA;7;1;50.37;50.37;0.00;A
40;VIAS;7;1;425.95;245.50;180.45;A
41;KIOSCO INTERNET 1;7;1;6045.87;0.00;6045.87;A
42;KIOSCO INTERNET 2;7;1;98.00;98.00;0.00;A
43;BLOQUE TECNOLOGICO;7;6;98.00;98.00;0.00;A
44;ACCESO PEATONAL;6;0;366.00;0.00;366.00;A
45;BLOQUE  FAC. EDUCACION;6;5;752.78;752.78;0.00;A
46;BLOQUE DE AULAS;6;5;634.00;634.00;0.00;A
47;DOCENCIA UNIVERSITARIA;6;1;155.70;81.78;73.92;A
48;CAFETERIA NUEVA;6;1;1130.96;548.28;582.68;A
49;CANCHA POLIDEPORTIVO;6;0;600.00;0.00;600.00;A
50;CANCHA FUTBOLL 5;6;0;600.00;0.00;600.00;A
51;CASETA CELADOR;6;1;28.06;7.40;20.66;A
52;CENTRO DE IDIOMAS;6;3;338.00;338.00;0.00;A
53;FONDO DE SALUD;6;1;1121.60;534.33;587.27;A
54;GIMNASIO FONDO DE SALUD;6;1;284.71;146.64;138.07;A
55;MOTOBOMBA;6;0;5.90;0.00;5.90;A
56;PARQUEADERO;6;0;1923.26;0.00;1923.26;A
57;BLOQUE FAC. POSGRADOS;6;3;373.30;373.30;0.00;A
58;SEDE JUBILADOS;6;2;75.00;0.00;75.00;A
59;VIAS;6;0;674.18;0.00;674.18;A
